股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key
2115,六暉-KY,2026-06-10 23:13:44,False,,,,,,,,,,,
2211,長榮鋼,2026-06-10 23:13:44,False,,,,,,,,,,,
2208,台船,2026-06-10 23:13:44,False,,,,,,,,,,,
2227,裕日車,2026-06-10 23:13:44,False,,,,,,,,,,,
2233,宇隆,2026-06-10 23:13:45,False,,,,,,,,,,,
2236,百達-KY,2026-06-10 23:13:45,False,,,,,,,,,,,
2231,為升,2026-06-10 23:13:44,False,,,,,,,,,,,
2228,劍麟,2026-06-10 23:13:44,False,,,,,,,,,,,
2241,艾姆勒,2026-06-10 23:13:45,False,,,,,,,,,,,
2243,宏旭-KY,2026-06-10 23:13:45,False,,,,,,,,,,,
2247,汎德永業,2026-06-10 23:13:45,False,,,,,,,,,,,
2239,英利-KY,2026-06-10 23:13:45,False,,,,,,,,,,,
2302,麗正,2026-06-10 23:13:45,False,,,,,,,,,,,
2250,IKKA-KY,2026-06-10 23:13:45,False,,,,,,,,,,,
2301,光寶科,2026-06-10 23:13:45,False,,,,,,,,,,,
2248,華勝-KY,2026-06-10 23:13:45,False,,,,,,,,,,,
2305,全友,2026-06-10 23:13:45,False,,,,,,,,,,,
2303,聯電,2026-06-10 23:13:45,False,,,,,,,,,,,
2312,金寶,2026-06-10 23:13:45,False,,,,,,,,,,,
2316,楠梓電,2026-06-10 23:13:45,False,,,,,,,,,,,
2313,華通,2026-06-10 23:13:45,False,,,,,,,,,,,
2314,台揚,2026-06-10 23:13:45,False,,,,,,,,,,,
2308,台達電,2026-06-10 23:13:45,False,,,,,,,,,,,
2324,仁寶,2026-06-10 23:13:45,False,,,,,,,,,,,
2327,國巨*,2026-06-10 23:13:45,False,,,,,,,,,,,
2321,東訊,2026-06-10 23:13:45,False,,,,,,,,,,,
2323,中環,2026-06-10 23:13:45,False,,,,,,,,,,,
2317,鴻海,2026-06-10 23:13:45,False,,,,,,,,,,,
2328,廣宇,2026-06-10 23:13:45,False,,,,,,,,,,,
2337,旺宏,2026-06-10 23:13:45,False,,,,,,,,,,,
2329,華泰,2026-06-10 23:13:45,False,,,,,,,,,,,
2330,台積電,2026-06-10 23:13:45,False,,,,,,,,,,,
2332,友訊,2026-06-10 23:13:45,False,,,,,,,,,,,
2331,精英,2026-06-10 23:13:45,False,,,,,,,,,,,
2344,華邦電,2026-06-10 23:13:45,False,,,,,,,,,,,
2340,台亞,2026-06-10 23:13:45,False,,,,,,,,,,,
2342,茂矽,2026-06-10 23:13:45,False,,,,,,,,,,,
2338,光罩,2026-06-10 23:13:45,False,,,,,,,,,,,
2347,聯強,2026-06-10 23:13:45,False,,,,,,,,,,,
2345,智邦,2026-06-10 23:13:45,False,,,,,,,,,,,
2348,海悅,2026-06-10 23:13:45,False,,,,,,,,,,,
2349,錸德,2026-06-10 23:13:45,False,,,,,,,,,,,
2351,順德,2026-06-10 23:13:45,False,,,,,,,,,,,
2352,佳世達,2026-06-10 23:13:45,False,,,,,,,,,,,
2353,宏��,2026-06-10 23:13:45,False,,,,,,,,,,,
2356,英業達,2026-06-10 23:13:45,False,,,,,,,,,,,
2354,鴻準,2026-06-10 23:13:45,False,,,,,,,,,,,
2355,敬鵬,2026-06-10 23:13:45,False,,,,,,,,,,,
2357,華碩,2026-06-10 23:13:45,False,,,,,,,,,,,
2359,所羅門,2026-06-10 23:13:45,False,,,,,,,,,,,
2362,藍天,2026-06-10 23:13:45,False,,,,,,,,,,,
2367,燿華,2026-06-10 23:13:45,False,,,,,,,,,,,
2360,致茂,2026-06-10 23:13:45,False,,,,,,,,,,,
2364,倫飛,2026-06-10 23:13:45,False,,,,,,,,,,,
2363,矽統,2026-06-10 23:13:45,False,,,,,,,,,,,
2365,昆盈,2026-06-10 23:13:45,False,,,,,,,,,,,
2369,菱生,2026-06-10 23:13:45,False,,,,,,,,,,,
2368,金像電,2026-06-10 23:13:45,False,,,,,,,,,,,
2371,大同,2026-06-10 23:13:45,False,,,,,,,,,,,
2374,佳能,2026-06-10 23:13:45,False,,,,,,,,,,,
2373,震旦行,2026-06-10 23:13:45,False,,,,,,,,,,,
2376,技嘉,2026-06-10 23:13:45,False,,,,,,,,,,,
2375,凱美,2026-06-10 23:13:45,False,,,,,,,,,,,
2382,廣達,2026-06-10 23:13:45,False,,,,,,,,,,,
2380,虹光,2026-06-10 23:13:45,False,,,,,,,,,,,
2379,瑞昱,2026-06-10 23:13:45,False,,,,,,,,,,,
2377,微星,2026-06-10 23:13:45,False,,,,,,,,,,,
2390,云辰,2026-06-10 23:13:45,False,,,,,,,,,,,
2388,威盛,2026-06-10 23:13:45,False,,,,,,,,,,,
2385,群光,2026-06-10 23:13:45,False,,,,,,,,,,,
2387,精元,2026-06-10 23:13:45,False,,,,,,,,,,,
